id;rut_empresa;id_ambiente;tipo_documento;monto_total;correo_receptor
1;16574;28637;71608;2481;mobile
2;51315;75091;44888;75016;Hormigon invoice evolve
3;79568;67393;34815;31938;Blanco
4;22900;54327;31077;65863;Cataluña Navarra Actualizable
5;81870;34762;85688;87543;transmitting impactful Electrónica
6;27767;57990;19254;40204;Plástico
7;40288;82572;39550;86397;Metal Bedfordshire Granito
8;15719;12837;26746;17245;Asturias fritas fritas
9;99268;72494;91517;94812;Plaza habilidad Azul
10;76430;66313;64912;35625;Entrada Chipre
